KEYWORDS,dbpedia_score
luchi,0
bandanna,0
eastern_part,0
mangal_pandey,0
semicircular,1
cairo,0
riccia,0
social_norm,0.4
epithelium,0
three_tier,0
quasi,0
sugarbeet,0
vajrasana,0
ration_shop,1
health_visitor,0
todar_mal,0
chowk,0
bulbul,0
sabarmati_ashram,0
ripon,0
hadji,0
mayapuri,0
sloth,0
cowpox,0
decipher,1
silent,1
sentinel,0
sirdar,0
gurmata,0
grama,0
bhojaka,1
pulpwood,0
time_date,0.6666666667
manor,0
rana_sanga,0
boar,0
marathon,0
lichen,0
egyptian_cotton,0
hampi,0
technic,0
urad,0
armament,0
mississippi,0
raja_ravi_varma,0
samaveda,0
lever,0
support_price,0
sieg,0
long_road,0
blind_spot,0.5
atharvaveda,0
board_of_trade,0
guitar,0
andaman_nicobar,0
canva,1
km,1
purna_swaraj,0
jahanpanah,0
mural,0
shunman,1
kubo,0
inspector,0
naag,0
kyu,0
crutch,0
sort,0.3333333333
namghar,0
hind_brain,1
momin,0
ottoman,0
chawl,0
dial,0.4
mandap,0
ordin,0
war_guilt,0
claus,0
speech,0.3333333333
musician,0
adrenalin,0
african_coast,0
pamphlet,0
garben,0
chikki,0
j__krishnamurti,0
proper_fraction,0.5
prana,0
rangoli,0
pancrea,0
camera,0
leo_major,1
copenhagen,0
liguria,0
m_v__dhurandhar,0
samachar_darpan,0
bhimrao_ramji_ambedkar,0
air_transport,0
pillion,0
paul_bernard,1
przeworski,0
alcohol_drink,0
nephron,0
nouveau,0
rembrandt,0
peal,0
konkan_railway,0
meristem,0
away,0
trophic_level,0
dolphin_kick,0
lord_clive,0
ormuz,0
sunday,0
marumalarchi,1
goug,1
learner,0.1428571429
st__georg,0
axel,0
magh,0
marxism,0
calori,0
sangma,0
sprayer,0
blue_light,1
near_point,0
molar,0
mausi,0
dharamshala,0
dr_john,0
john_mathai,0
allama_prabhu,0
young_india,0
tehsil,0
upper_air,0
kumaon,0
imam_hussain,1
match_box,0
resin,0
visit,0
pan_region,0
buchanan,0
yeh,0
tribal_group,0
sedam,0
curri,0
two_tier,1
alwar_district,0
amar,0
jiban,0
balkh,0
dozen,1
breast_stroke,0
civil_line,0
e_p,0
steb,0
forcep,0
baboo,0
pommel,0
plane_mirror,0
pension,0
quick_lime,0
near_vision,0.25
eastern_coast,0
triangular_trade,0
protected,0
citadel,0.3333333333
interim,0
cochin,0
nicotin,0
three_wheeler,0
condom,0
cricket_world_cup,0
prasanna,0
hi,0
k_m,0
karlson,0
union_jack,0
sakhi,0
bhutta,0
metric_system,1
constraint,1
internet_cafe,0
maldhari,0
william_bell_scott,0
bump,0
canara,0
ghor,1
kali,0.1428571429
tsang_po,0
afraid,1
chat,0
live_wire,0
jodhpur,0
prime_minister,0
pavement,0
dravida,0
funaria,1
spin_wheel,0
wood_pulp,0
kartal,0
pahadi,0
ti,0
black_soil,0
shikhara,1
packer’_‘circus,0
hare,0
dal_khalsa,0
north_africa,0
ammi,1
pluck,0
shalimar_garden,0
scolopendra,0
taang,0
muskmelon,0
mp3,0.4444444444
mp3_player,0.375
amazon_forest,0
pongal,0
mehrauli,0
tdp,0
sir_david_baird,0
sri_lankan,0
oxfam,0
oxfam_gb,0
take_two,0
mooga,0
handpump,0
