State/Centre,Grade,Subject,Medium,Textbook Name,Chapter No.,Chapter Name,Chapter Concept Name,Topic Name,Topic Concept Name,Sub-Topic,Keywords,Name,Description,Icon / Image filepath,File Type,File Path,Audience,Content Purpose,Content Duration (in mins),Content Size (in MB),License Type (CC-BY etc),Content Author/Provider Name,Comments
Centre,Class 1,Mathematics,English,Math-Magic,1,Shapes And Space,Shapes and Space,Inside - Outside,Shapes,NA,"Arab, Camel, winter day, tent, inside, outside, leg, cold",Shapes And Space_Inside - Outside_1,Math-Magic_1_Shapes And Space_Inside - Outside_Shapes and Space- Inside Outside,https://drive.google.com/open?id=1wB1TVfKx18XTPAFj_XQYzHqWbgffDPTg,URL (YouTube),https://www.youtube.com/watch?v=n6bUcw5YPbo&t=2s,Learner,Explanation Content,3:38,NA,Standard YouTube License,Evolton_www.youtube.com,
Centre,Class 1,Mathematics,English,Math-Magic,1,Shapes And Space,Shapes and Space,Inside - Outside,Shapes,NA,"Arab, Camel, winter day, tent, inside, outside, leg, cold, warm sleep, top, bottom, nearer, farther, nearest, farthest, on, under, above, below, sphere, circle, cube, line, ball, sorting, round, roll, slide, grandmother, wolf, triangle, rectangle, square",Shapes And Space_Inside - Outside_2,Math-Magic_1_Shapes And Space_Inside - Outside_Shapes and Space- Inside Outside,https://drive.google.com/open?id=1Gf7ut8TpLopdKjCCQeOQPgaWslreVckj,URL (YouTube),https://www.youtube.com/watch?v=LQUwzpTs63A,Learner,Explanation Content,5:47,NA,Standard YouTube License,Instant Vidyalaya_www.youtube.com,
Centre,Class 1,Mathematics,English,Math-Magic,1,Shapes And Space,Shapes and Space,Inside - Outside,Shapes,NA,"Arab, Camel, winter day, tent, inside, outside, leg, cold, warm sleep",Shapes And Space_Inside - Outside_3,Math-Magic_1_Shapes And Space_Inside - Outside_Shapes and Space,https://drive.google.com/open?id=1hwuyNwywhHlmKzn69s9Cqlt5ycigQuxw,URL (YouTube),https://www.youtube.com/watch?v=7O_W9ke96bo,Learner,Explanation Content,44:33,NA,Standard YouTube License,FREEJEE_www.youtube.com,The Content explains the Whole Chapter
Centre,Class 1,Mathematics,English,Math-Magic,1,Shapes And Space,Shapes and Space,Bigger - Smaller,Shape Sizes,NA,"Bigger, smaller",Shapes And Space_Bigger - Smaller_1,"Math-Magic_1_Shapes And Space_Bigger - Smaller_Smaller, Bigger",https://drive.google.com/open?id=1ymU4ZrGikZ5La-JU16QtTfqWPTONbT2m,URL (YouTube),https://www.youtube.com/watch?v=_HZRF9o2fHs,Learner,Explanation Content,4:05,NA,Standard YouTube License,Evolton_www.youtube.com,
Centre,Class 1,Mathematics,English,Math-Magic,1,Shapes And Space,Shapes and Space,Bigger - Smaller,Shape Sizes,NA,"Bigger, smaller",Shapes And Space_Bigger - Smaller_2,"Math-Magic_1_Shapes And Space_Bigger - Smaller_Smaller, Bigger",https://drive.google.com/open?id=1qI_P8vRsAuUYgno4548pMMbzFEv2v7JA,URL (YouTube),https://www.youtube.com/watch?v=rCt_V-ZlBBs,Learner,Explanation Content,2:08,NA,Standard YouTube License,NurseryTracks_www.youtube.com,
Centre,Class 1,Mathematics,English,Math-Magic,1,Shapes And Space,Shapes and Space,Bigger - Smaller,Shape Sizes,NA,"Bigger, smaller",Shapes And Space_Bigger - Smaller_3,"Math-Magic_1_Shapes And Space_Bigger - Smaller_Smaller, Bigger",NA,PDF,http://m.k5learning.com/sites/all/files/worksheets/kindergarten-big-or-small-1.pdf,Instructor,Assessment,NA,0.2,NA,Poulami Paul_www.m.k5learning.com,Copyright checking is in progress
Centre,Class 1,Mathematics,English,Math-Magic,1,Shapes And Space,Shapes and Space,Bigger - Smaller,Shape Sizes,NA,"Bigger, smaller, big, small",Shapes And Space_Bigger - Smaller_4,"Math-Magic_1_Shapes And Space_Bigger - Smaller_Smaller, Bigger",NA,PDF,http://j.b5z.net/i/u/2152804/f/big_and_small_activity_book.pdf,Instructor,Assessment,NA,1.09,NA,Poulami Paul_www.http://j.b5z.net,
Centre,Class 1,Mathematics,English,Math-Magic,1,Shapes And Space,Shapes and Space,Biggest - Smallest,Shape Sizes,NA,"Biggest, Smallest",Shapes And Space_Biggest - Smallest_1,"Math-Magic_1_Shapes And Space_Biggest - Smallest_Biggest, Smallest",https://drive.google.com/open?id=1XXh7Qp9ou4K9cJXEGcic6ZhKImA4Wy24,URL (YouTube),https://www.youtube.com/watch?v=e93VMoK_dZg,Instructor,Practice Content,3:08,NA,Standard YouTube License,Sukhdev Singh_www.youtube.com,
Centre,Class 1,Mathematics,English,Math-Magic,1,Shapes And Space,Shapes and Space,Biggest - Smallest,Shape Sizes,NA,"Unequal size, biggest, smallest",Shapes And Space_Biggest - Smallest_2,"Math-Magic_1_Shapes And Space_Biggest - Smallest_Biggest, Smallest",https://drive.google.com/open?id=1t9Le0S33MqLuNK7xi7PhM7J5VZX-Qdq5,URL (YouTube),https://www.youtube.com/watch?v=Rom_UyBaTGM,Learner,Explanation Content,1:47,NA,Standard YouTube License,Roving Genius _www.youtube.com,
Centre,Class 1,Mathematics,English,Math-Magic,1,Shapes And Space,Shapes and Space,Top - Bottom,Shapes and Space,NA,"Top, bottom",Shapes And Space_Top - Bottom_1,"Math-Magic_1_Shapes And Space_Top - Bottom_Top, bottom",https://drive.google.com/open?id=11tJeygcyBdeqBfGPHAttiQ8QVly_y8D8,URL (YouTube),https://www.youtube.com/watch?v=J0e4WFOaXvw,Learner,Explanation Content,5:34,NA,Standard YouTube License,Evolton_www.youtube.com,
